,Unnamed: 0,research_ID,date from,hour from,date to,hour to
0,0,23030597,18-06-2012,02:00:57,29-08-2012,15:45:07
1,1,23070600,18-06-2012,02:00:50,20-08-2012,17:30:11
2,2,23130842,23-06-2013,02:00:44,14-08-2012,11:30:13
3,3,23170836,18-06-2012,02:00:50,19-08-2012,13:55:07
4,4,23200607,18-06-2012,02:00:56,20-08-2012,14:30:09
5,5,23230847,18-06-2012,02:00:50,19-08-2012,15:56:52
0,0,23030597,23-04-2013,08:30:12,10-05-2013,20:00:11
1,1,23070600,14-04-2013,10:45:12,17-06-2013,21:00:11
2,2,23130842,14-04-2013,06:50:11,17-06-2013,21:00:12
3,3,23170836,14-04-2013,06:15:14,17-06-2013,21:00:12
4,4,23200607,09-04-2013,06:00:14,17-06-2013,21:00:12
5,5,23230847,21-04-2013,06:15:10,17-06-2013,21:00:16
